,LSTM_Forecast
2025-01-01,3.0720887
2025-01-02,3.3338635
2025-01-03,3.6359763
2025-01-06,3.8654127
2025-01-07,4.0089173
2025-01-08,4.121163
2025-01-09,4.2081685
2025-01-10,4.269078
2025-01-13,4.3054047
2025-01-14,4.3004875
2025-01-15,4.281585
2025-01-16,4.1841025
2025-01-17,4.0692225
2025-01-20,3.934229
2025-01-21,3.7988825
2025-01-22,3.685325
2025-01-23,3.6208878
2025-01-24,3.604653
2025-01-27,3.6342037
2025-01-28,3.7118704
2025-01-29,3.8107164
2025-01-30,3.9301696
2025-01-31,4.024322
2025-02-03,4.0761275
2025-02-04,4.1421103
2025-02-05,4.1971593
2025-02-06,4.267189
2025-02-07,4.350238
2025-02-10,4.4604096
2025-02-11,4.601396
2025-02-12,4.7986054
2025-02-13,4.9891324
2025-02-14,5.0943346
2025-02-17,5.120921
2025-02-18,5.0918055
2025-02-19,5.0327177
2025-02-20,4.9430847
2025-02-21,4.853589
2025-02-24,4.8137035
2025-02-25,4.828544
2025-02-26,4.94207
2025-02-27,5.136649
2025-02-28,5.3766804
2025-03-03,5.5807896
2025-03-04,5.74798
2025-03-05,5.901745
2025-03-06,6.0075417
2025-03-07,6.1030927
2025-03-10,6.18043
2025-03-11,6.3400493
2025-03-12,6.511133
2025-03-13,6.606352
2025-03-14,6.6483345
2025-03-17,6.6212378
2025-03-18,6.577646
2025-03-19,6.560497
2025-03-20,6.5275736
2025-03-21,6.4758196
2025-03-24,6.376418
2025-03-25,6.1688533
2025-03-26,5.880641
2025-03-27,5.6151705
2025-03-28,5.395547
2025-03-31,5.2521944
2025-04-01,5.183913
2025-04-02,5.1424747
2025-04-03,5.078356
2025-04-04,5.043564
2025-04-07,5.1116786
2025-04-08,5.2599487
2025-04-09,5.4702964
2025-04-10,5.555988
2025-04-11,5.5912747
2025-04-14,5.5994806
2025-04-15,5.590809
2025-04-16,5.5675697
2025-04-17,5.57102
2025-04-18,5.5935555
2025-04-21,5.622965
2025-04-22,5.6891494
2025-04-23,5.743051
2025-04-24,5.742295
2025-04-25,5.679142
2025-04-28,5.514546
2025-04-29,5.298537
2025-04-30,5.062768
2025-05-01,4.869227
2025-05-02,4.7338147
2025-05-05,4.6337204
2025-05-06,4.5838866
2025-05-07,4.587511
2025-05-08,4.624215
2025-05-09,4.655215
2025-05-12,4.6429586
2025-05-13,4.552514
2025-05-14,4.383134
2025-05-15,4.1525326
2025-05-16,3.9263425
2025-05-19,3.7212148
2025-05-20,3.5765176
2025-05-21,3.490675
2025-05-22,3.4785
2025-05-23,3.5056155
2025-05-26,3.560171
2025-05-27,3.6310353
2025-05-28,3.6513963
2025-05-29,3.6499422
2025-05-30,3.6412983
2025-06-02,3.6649804
2025-06-03,3.7254782
2025-06-04,3.8032584
2025-06-05,3.9153297
2025-06-06,4.1628118
2025-06-09,4.456578
2025-06-10,4.702948
2025-06-11,4.8392406
2025-06-12,4.885209
2025-06-13,4.8909316
2025-06-16,4.860008
2025-06-17,4.7986407
2025-06-18,4.7565737
2025-06-19,4.7209196
2025-06-20,4.6899047
2025-06-23,4.6636086
2025-06-24,4.575751
2025-06-25,4.4712367
2025-06-26,4.40583
2025-06-27,4.382678
2025-06-30,4.393929
2025-07-01,4.4399548
2025-07-02,4.5465794
2025-07-03,4.644398
2025-07-04,4.718737
2025-07-07,4.769163
2025-07-08,4.8539486
2025-07-09,4.9467754
2025-07-10,5.0348506
2025-07-11,5.0713725
2025-07-14,5.0557466
2025-07-15,4.9992256
2025-07-16,4.938524
2025-07-17,4.85626
2025-07-18,4.7714143
2025-07-21,4.669234
2025-07-22,4.5675464
2025-07-23,4.469794
2025-07-24,4.384158
2025-07-25,4.3856635
2025-07-28,4.4232507
2025-07-29,4.4490857
2025-07-30,4.4716372
2025-07-31,4.4974747
2025-08-01,4.5514746
2025-08-04,4.6350737
2025-08-05,4.711197
2025-08-06,4.771574
2025-08-07,4.7861853
2025-08-08,4.761065
2025-08-11,4.6958184
2025-08-12,4.588655
2025-08-13,4.4620414
2025-08-14,4.343387
2025-08-15,4.255456
2025-08-18,4.2119484
2025-08-19,4.1918974
2025-08-20,4.201927
2025-08-21,4.245836
2025-08-22,4.317633
2025-08-25,4.349784
2025-08-26,4.33079
2025-08-27,4.2700987
2025-08-28,4.1976933
2025-08-29,4.1397257
2025-09-01,4.131356
2025-09-02,4.1604905
2025-09-03,4.220725
2025-09-04,4.282771
2025-09-05,4.3259344
2025-09-08,4.3210793
2025-09-09,4.29543
2025-09-10,4.2628064
2025-09-11,4.2296853
2025-09-12,4.150109
2025-09-15,3.9806805
2025-09-16,3.73698
2025-09-17,3.4512148
2025-09-18,3.1673336
2025-09-19,2.9451473
2025-09-22,2.7778018
2025-09-23,2.6487846
2025-09-24,2.5809913
2025-09-25,2.5328119
2025-09-26,2.5465972
2025-09-29,2.5758224
2025-09-30,2.606136
2025-10-01,2.6372814
2025-10-02,2.641862
2025-10-03,2.6836379
2025-10-06,2.776027
2025-10-07,2.847336
2025-10-08,2.9369884
2025-10-09,3.0294263
2025-10-10,3.1233165
2025-10-13,3.2619417
2025-10-14,3.3745801
2025-10-15,3.4659498
2025-10-16,3.5250974
2025-10-17,3.5725317
2025-10-20,3.5888119
2025-10-21,3.5641468
2025-10-22,3.5268118
2025-10-23,3.4990826
2025-10-24,3.4626036
2025-10-27,3.4564066
2025-10-28,3.436287
2025-10-29,3.3865097
2025-10-30,3.3209906
2025-10-31,3.3035195
2025-11-03,3.2941408
2025-11-04,3.2608747
2025-11-05,3.265999
2025-11-06,3.2688184
2025-11-07,3.3005192
2025-11-10,3.3906047
