,BND_ARIMA_Forecast
2025-01-01,69.14793850916125
2025-01-02,69.14233231093452
2025-01-03,69.15694736287506
2025-01-06,69.16871556850025
2025-01-07,69.16371112240604
2025-01-08,69.15222638588196
2025-01-09,69.15010178936473
2025-01-10,69.15770160992871
2025-01-13,69.16322258929856
2025-01-14,69.16031215513358
2025-01-15,69.15463449750014
2025-01-16,69.15391452050402
2025-01-17,69.15784168815784
2025-01-20,69.16040856689229
2025-01-21,69.15875733998442
2025-01-22,69.1559641554736
2025-01-23,69.15577604108509
2025-01-24,69.15779356149785
2025-01-27,69.15897466539586
2025-01-28,69.15805553662476
2025-01-29,69.15668826402378
2025-01-30,69.15668009056704
2025-01-31,69.15771087317263
2025-02-03,69.15824775138853
2025-02-04,69.15774388306484
2025-02-05,69.1570780668494
2025-02-06,69.15711669162202
2025-02-07,69.15764058328628
2025-02-10,69.157881067223
2025-02-11,69.1576083059816
2025-02-12,69.15728583655462
2025-02-13,69.15732628879226
2025-02-14,69.15759121651062
2025-02-17,69.15769699135113
2025-02-18,69.15755090522003
2025-02-19,69.15739562494188
2025-02-20,69.15742626348452
2025-02-21,69.15755958074989
2025-02-24,69.15760502559975
2025-02-25,69.15752750477277
2025-02-26,69.15745319312684
2025-02-27,69.15747361560099
2025-02-28,69.15754038199665
2025-03-03,69.15755929690759
2025-03-04,69.15751849464868
2025-03-05,69.15748316978753
2025-03-06,69.15749586930745
2025-03-07,69.15752914758846
2025-03-10,69.15753666746129
2025-03-11,69.1575153482005
2025-03-12,69.1574986797774
2025-03-13,69.15750623629718
2025-03-14,69.15752274429099
2025-03-17,69.15752552322091
2025-03-18,69.15751445780101
2025-03-19,69.15750665726861
2025-03-20,69.15751101746179
2025-03-21,69.15751916708135
2025-03-24,69.15752006229964
2025-03-25,69.1575143541413
2025-03-26,69.15751073767892
2025-03-27,69.15751319669987
2025-03-28,69.15751720027959
2025-03-31,69.15751740007778
2025-04-01,69.15751447233424
2025-04-02,69.15751281376407
2025-04-03,69.15751417608853
2025-04-04,69.15751613296713
2025-04-07,69.15751610920718
