,BND_LSTM_Forecast
2025-01-01,69.30324
2025-01-02,69.35802
2025-01-03,69.41892
2025-01-06,69.4826
2025-01-07,69.54732
2025-01-08,69.61237
2025-01-09,69.67761
2025-01-10,69.74318
2025-01-13,69.80934
2025-01-14,69.87634
2025-01-15,69.94437
2025-01-16,70.013535
2025-01-17,70.083885
2025-01-20,70.15541
2025-01-21,70.22805
2025-01-22,70.301735
2025-01-23,70.37639
2025-01-24,70.45193
2025-01-27,70.52829
2025-01-28,70.60541
2025-01-29,70.68323
2025-01-30,70.76173
2025-01-31,70.840866
2025-02-03,70.92064
2025-02-04,71.00101
2025-02-05,71.08198
2025-02-06,71.16351
2025-02-07,71.24562
2025-02-10,71.32828
2025-02-11,71.4115
2025-02-12,71.49525
2025-02-13,71.57954
2025-02-14,71.66434
2025-02-17,71.74964
2025-02-18,71.83545
2025-02-19,71.921745
2025-02-20,72.00852
2025-02-21,72.09577
2025-02-24,72.18347
2025-02-25,72.27162
2025-02-26,72.360214
2025-02-27,72.44923
2025-02-28,72.53865
2025-03-03,72.62848
2025-03-04,72.71869
2025-03-05,72.80928
2025-03-06,72.90022
2025-03-07,72.991516
2025-03-10,73.083145
2025-03-11,73.175095
2025-03-12,73.26734
2025-03-13,73.35988
2025-03-14,73.45268
2025-03-17,73.54575
2025-03-18,73.63905
2025-03-19,73.73258
2025-03-20,73.8263
2025-03-21,73.92021
2025-03-24,74.01428
2025-03-25,74.10851
2025-03-26,74.202866
2025-03-27,74.297325
2025-03-28,74.39188
2025-03-31,74.4865
2025-04-01,74.58118
2025-04-02,74.67588
2025-04-03,74.770584
2025-04-04,74.865295
2025-04-07,74.95996
2025-04-08,75.05457
2025-04-09,75.1491
2025-04-10,75.243546
2025-04-11,75.33786
2025-04-14,75.43204
2025-04-15,75.52606
2025-04-16,75.61988
2025-04-17,75.7135
2025-04-18,75.8069
2025-04-21,75.90004
2025-04-22,75.99291
2025-04-23,76.08549
2025-04-24,76.17774
2025-04-25,76.26967
2025-04-28,76.36122
2025-04-29,76.45241
2025-04-30,76.54319
2025-05-01,76.633545
2025-05-02,76.723465
2025-05-05,76.81291
2025-05-06,76.901886
2025-05-07,76.99036
2025-05-08,77.0783
2025-05-09,77.1657
2025-05-12,77.25255
2025-05-13,77.33883
2025-05-14,77.4245
2025-05-15,77.50957
2025-05-16,77.59401
2025-05-19,77.6778
2025-05-20,77.76093
2025-05-21,77.84339
2025-05-22,77.925156
2025-05-23,78.00622
2025-05-26,78.08657
2025-05-27,78.166176
2025-05-28,78.245056
2025-05-29,78.323166
2025-05-30,78.40052
2025-06-02,78.47709
2025-06-03,78.55287
2025-06-04,78.62785
2025-06-05,78.702034
2025-06-06,78.77539
2025-06-09,78.84793
2025-06-10,78.91965
2025-06-11,78.99051
2025-06-12,79.06053
2025-06-13,79.129715
2025-06-16,79.198044
2025-06-17,79.26551
2025-06-18,79.332115
2025-06-19,79.39785
2025-06-20,79.46272
2025-06-23,79.52673
2025-06-24,79.58986
2025-06-25,79.65212
2025-06-26,79.7135
2025-06-27,79.77402
2025-06-30,79.833664
2025-07-01,79.89243
2025-07-02,79.950325
2025-07-03,80.00736
2025-07-04,80.06352
2025-07-07,80.11882
2025-07-08,80.173256
2025-07-09,80.22684
2025-07-10,80.27957
2025-07-11,80.33144
2025-07-14,80.382484
2025-07-15,80.432686
2025-07-16,80.48205
2025-07-17,80.53059
2025-07-18,80.5783
2025-07-21,80.62519
2025-07-22,80.67127
2025-07-23,80.71656
2025-07-24,80.76104
2025-07-25,80.80475
2025-07-28,80.847664
2025-07-29,80.8898
2025-07-30,80.93119
2025-07-31,80.9718
2025-08-01,81.01168
2025-08-04,81.05081
2025-08-05,81.0892
2025-08-06,81.126884
2025-08-07,81.16384
2025-08-08,81.20009
2025-08-11,81.235634
2025-08-12,81.27051
2025-08-13,81.304695
2025-08-14,81.3382
2025-08-15,81.371056
2025-08-18,81.40326
2025-08-19,81.43482
2025-08-20,81.465744
2025-08-21,81.49605
2025-08-22,81.52574
2025-08-25,81.55482
2025-08-26,81.583305
2025-08-27,81.611206
2025-08-28,81.63853
2025-08-29,81.66529
2025-09-01,81.69148
2025-09-02,81.71713
2025-09-03,81.74224
2025-09-04,81.76682
2025-09-05,81.79088
2025-09-08,81.81442
2025-09-09,81.837456
2025-09-10,81.86001
2025-09-11,81.88206
2025-09-12,81.90364
2025-09-15,81.92475
2025-09-16,81.9454
2025-09-17,81.9656
2025-09-18,81.98536
2025-09-19,82.00468
2025-09-22,82.023575
2025-09-23,82.042046
2025-09-24,82.06011
2025-09-25,82.077774
2025-09-26,82.09504
2025-09-29,82.11192
2025-09-30,82.128426
2025-10-01,82.144554
2025-10-02,82.16031
2025-10-03,82.17572
2025-10-06,82.19078
2025-10-07,82.2055
2025-10-08,82.21987
2025-10-09,82.23393
2025-10-10,82.247665
2025-10-13,82.26107
2025-10-14,82.27418
2025-10-15,82.28698
2025-10-16,82.29949
2025-10-17,82.311714
2025-10-20,82.32364
2025-10-21,82.335304
2025-10-22,82.346695
2025-10-23,82.3578
2025-10-24,82.36867
2025-10-27,82.37927
2025-10-28,82.38963
2025-10-29,82.39975
2025-10-30,82.40962
2025-10-31,82.419266
2025-11-03,82.42868
2025-11-04,82.437874
2025-11-05,82.44685
2025-11-06,82.45562
2025-11-07,82.46417
2025-11-10,82.47253
2025-11-11,82.48068
2025-11-12,82.48865
2025-11-13,82.49641
2025-11-14,82.504
2025-11-17,82.511406
2025-11-18,82.51862
2025-11-19,82.52568
2025-11-20,82.53256
2025-11-21,82.53928
2025-11-24,82.545845
2025-11-25,82.552246
2025-11-26,82.55849
2025-11-27,82.56458
2025-11-28,82.57054
2025-12-01,82.57634
2025-12-02,82.58201
2025-12-03,82.58753
2025-12-04,82.592926
2025-12-05,82.59819
2025-12-08,82.603325
2025-12-09,82.60833
2025-12-10,82.61321
2025-12-11,82.61798
2025-12-12,82.622635
2025-12-15,82.627174
