,forecast
2026-01-16,74.50979
2026-01-19,74.58945
2026-01-20,74.68054
2026-01-21,74.777084
2026-01-22,74.876015
2026-01-23,74.97534
2026-01-26,75.073845
2026-01-27,75.17095
2026-01-28,75.26661
2026-01-29,75.36111
2026-01-30,75.45492
2026-02-02,75.54863
2026-02-03,75.642845
2026-02-04,75.7381
2026-02-05,75.83484
2026-02-06,75.933426
2026-02-09,76.03413
2026-02-10,76.13711
2026-02-11,76.24249
2026-02-12,76.35035
2026-02-13,76.460724
2026-02-16,76.57363
2026-02-17,76.689125
2026-02-18,76.80723
2026-02-19,76.928024
2026-02-20,77.0516
2026-02-23,77.17805
2026-02-24,77.30747
2026-02-25,77.43848
2026-02-26,77.56937
2026-02-27,77.69877
2026-03-02,77.82683
2026-03-03,77.95423
2026-03-04,78.081665
2026-03-05,78.20979
2026-03-06,78.33912
2026-03-09,78.47006
2026-03-10,78.60295
2026-03-11,78.738014
2026-03-12,78.87545
2026-03-13,79.0154
2026-03-16,79.15804
2026-03-17,79.303345
2026-03-18,79.451385
2026-03-19,79.60228
2026-03-20,79.7562
2026-03-23,79.9133
2026-03-24,80.073784
2026-03-25,80.23786
2026-03-26,80.40577
2026-03-27,80.57777
2026-03-30,80.754105
2026-03-31,80.93507
2026-04-01,81.12096
2026-04-02,81.3121
2026-04-03,81.50883
2026-04-06,81.711365
2026-04-07,81.91979
2026-04-08,82.13445
2026-04-09,82.355774
2026-04-10,82.584236
2026-04-13,82.82034
2026-04-14,83.06463
2026-04-15,83.317696
2026-04-16,83.58019
2026-04-17,83.85281
2026-04-20,84.13633
2026-04-21,84.4285
2026-04-22,84.72993
2026-04-23,85.04247
2026-04-24,85.36794
2026-04-27,85.70805
2026-04-28,86.06454
2026-04-29,86.43914
2026-04-30,86.833755
2026-05-01,87.25038
2026-05-04,87.69128
2026-05-05,88.15892
2026-05-06,88.65613
2026-05-07,89.18608
2026-05-08,89.752426
2026-05-11,90.359314
2026-05-12,91.01159
2026-05-13,91.71486
2026-05-14,92.47566
2026-05-15,93.3017
2026-05-18,94.20206
2026-05-19,95.18758
2026-05-20,96.27121
2026-05-21,97.46865
2026-05-22,98.799034
2026-05-25,100.28583
2026-05-26,101.958206
2026-05-27,103.85277
2026-05-28,106.01595
2026-05-29,108.50742
2026-06-01,111.40256
2026-06-02,114.79983
2026-06-03,118.833916
2026-06-04,123.688576
2026-06-05,129.61833
2026-06-08,136.98198
2026-06-09,146.2929
2026-06-10,158.30142
2026-06-11,174.12463
2026-06-12,195.43475
2026-06-15,224.67613
2026-06-16,265.39618
2026-06-17,322.52173
2026-06-18,402.39517
2026-06-19,512.7125
2026-06-22,662.3223
2026-06-23,866.53827
2026-06-24,1142.0914
2026-06-25,1507.0021
2026-06-26,1985.7238
2026-06-29,2604.573
2026-06-30,3386.484
2026-07-01,4315.78
2026-07-02,5399.853
2026-07-03,6042.483
2026-07-06,6773.953
2026-07-07,7559.0244
2026-07-08,8652.549
2026-07-09,5885.449
2026-07-10,-6742.286
2026-07-13,-11736.967
2026-07-14,-17581.723
