,SPY_ARIMA_Forecast
2025-01-01,579.3042643792292
2025-01-02,579.759212103898
2025-01-03,579.5100228582849
2025-01-06,580.11561577714
2025-01-07,579.841368420247
2025-01-08,580.3614851838346
2025-01-09,580.2569318992552
2025-01-10,580.5558952853888
2025-01-13,580.6896631997843
2025-01-14,580.764573726005
2025-01-15,581.0829541522234
2025-01-16,581.0294440363161
2025-01-17,581.4125444871585
2025-01-20,581.3567003838656
2025-01-21,581.6884554315291
2025-01-22,581.7236607413196
2025-01-23,581.9414488494106
2025-01-24,582.0963861288539
2025-01-27,582.2040585322567
2025-01-28,582.4474991373229
2025-01-29,582.495921520551
2025-01-30,582.766374056099
2025-01-31,582.8186594969159
2025-02-03,583.0592927601255
2025-02-04,583.1599893988052
2025-02-05,583.3421819765248
2025-02-06,583.5028014200665
2025-02-07,583.6310848188689
2025-02-10,583.8339150721404
2025-02-11,583.9351299078445
2025-02-12,584.1487790603485
2025-02-13,584.2543977391272
2025-02-14,584.4511491953416
2025-02-17,584.5823054631878
2025-02-18,584.749227983041
2025-02-19,584.9102611373983
2025-02-20,585.050896540218
2025-02-21,585.2319497938797
2025-02-24,585.3603619485007
2025-02-25,585.5454797439212
2025-02-26,585.6773042800049
2025-02-27,585.853024942347
2025-02-28,585.9982269232542
2025-03-03,586.1587891245783
2025-03-04,586.3188317825417
2025-03-05,586.4666288194918
2025-03-06,586.6361089301835
2025-03-07,586.7784635714482
2025-03-10,586.9493053468764
2025-03-11,587.0939564683198
2025-03-12,587.2596498655718
2025-03-13,587.411264623462
2025-03-14,587.5692869788645
2025-03-17,587.728246012934
2025-03-18,587.8800962868257
2025-03-19,588.0434740630488
2025-03-20,588.1929432558159
2025-03-21,588.3566687314943
2025-03-24,588.5075728356645
2025-03-25,588.6685120550158
2025-03-26,588.8230204199484
2025-03-27,588.9800932648742
2025-03-28,589.1382224815186
2025-03-31,589.2923246423725
2025-04-01,589.4525070549081
2025-04-02,589.605590807342
2025-04-03,589.7657821985007
2025-04-04,589.919722026995
2025-04-07,590.0784209833885
2025-04-08,590.234216532205
2025-04-09,590.3909743525542
2025-04-10,590.5485482461803
2025-04-11,590.7038831681465
2025-04-14,590.8624028174421
2025-04-15,591.0173153003063
2025-04-16,591.1757581486878
2025-04-17,591.3311653950443
2025-04-18,591.488815875314
2025-04-21,591.6451739142982
2025-04-22,591.8018535533039
2025-04-23,591.9590816108649
2025-04-24,592.1150832543109
2025-04-25,592.2727425624538
2025-04-28,592.4285765505628
2025-04-29,592.5861575303757
2025-04-30,592.7422708635232
2025-05-01,592.8994343971754
2025-05-02,593.0560326457817
2025-05-05,593.2127124471909
2025-05-06,593.3697346294331
2025-05-07,593.5260931972284
2025-05-08,593.6833096747489
2025-05-09,593.8396062047256
2025-05-12,593.9967639826867
2025-05-13,594.1532154169524
2025-05-14,594.3101547745556
2025-05-15,594.4668524484287
2025-05-16,594.6235516805749
2025-05-19,594.7804550654333
2025-05-20,594.9370030408601
2025-05-21,595.0939926938526
2025-05-22,595.2505205081939
2025-05-23,595.4074712916442
2025-05-26,595.5640837757599
2025-05-27,595.7209209789074
2025-05-28,595.8776579847084
2025-05-29,596.0343764341069
2025-05-30,596.1912128252899
2025-06-02,596.3478605444283
2025-06-03,596.5047345446184
2025-06-04,596.6613775734478
2025-06-05,596.8182275190818
2025-06-06,596.9749162817394
2025-06-09,597.131707496251
2025-06-10,597.2884589769786
2025-06-11,597.4451916828788
2025-06-12,597.6019909590732
2025-06-13,597.7586908471861
2025-06-16,597.915506133677
2025-06-17,598.0722063425638
2025-06-18,598.2290073696198
2025-06-19,598.3857320350512
2025-06-20,598.5425028500302
2025-06-23,598.6992589821127
2025-06-24,598.8560010806668
2025-06-25,599.0127800854921
2025-06-26,599.1695070924942
2025-06-27,599.3262926949959
2025-06-30,599.4830211759545
2025-07-01,599.6397985751719
2025-07-02,599.796540022087
2025-07-03,599.9533019547086
2025-07-04,600.1100591289095
2025-07-07,600.2668070223923
2025-07-08,600.4235750847431
2025-07-09,600.5803161101742
2025-07-10,600.7370867651593
2025-07-11,600.8938291723262
2025-07-14,601.0505952118579
2025-07-15,601.2073444412972
2025-07-16,601.3641025988377
2025-07-17,601.5208596594092
2025-07-18,601.6776109810312
2025-07-21,601.8343731949852
2025-07-22,601.9911214295633
2025-07-23,602.1478845868421
2025-07-24,602.3046338275271
2025-07-25,602.4613944324625
2025-07-28,602.618147238728
2025-07-29,602.7749038441704
2025-07-30,602.9316605352702
2025-07-31,603.088413826121
2025-08-01,603.2451729409379
2025-08-04,603.4019248651088
2025-08-05,603.5586842758086
2025-08-06,603.715436856541
2025-08-07,603.872194875278
2025-08-08,604.0289493082385
2025-08-11,604.185705305903
2025-08-12,604.3424616588363
2025-08-13,604.4992160563845
2025-08-14,604.6559735412161
2025-08-15,604.8127273451652
2025-08-18,604.969484890732
2025-08-19,605.1262390974009
2025-08-20,605.282995892521
2025-08-21,605.4397510560552
2025-08-22,605.5965068339216
2025-08-25,605.7532629427728
2025-08-26,605.9100179517725
2025-08-27,606.0667745850309
2025-08-28,606.2235293425836
2025-08-29,606.3802859631072
2025-09-01,606.5370409579583
2025-09-02,606.693797177819
2025-09-03,606.8505526644648
2025-09-04,607.0073083742975
2025-09-05,607.1640643245954
2025-09-08,607.3208196668144
2025-09-09,607.4775758578529
2025-09-10,607.6343310971771
2025-09-11,607.7910872606247
2025-09-12,607.9478426358686
2025-09-15,608.1045985871966
2025-09-16,608.261354214001
2025-09-17,608.4181099105822
2025-09-18,608.5748657639023
2025-09-19,608.7316212856582
2025-09-22,608.8883772483164
2025-09-23,609.0451327300716
2025-09-24,609.201888668524
2025-09-25,609.3586442264972
2025-09-26,609.5154000534772
2025-09-29,609.67215573955
2025-09-30,609.8289114397667
2025-10-01,609.9856672360543
2025-10-02,610.142422853614
2025-10-03,610.2991786989269
2025-10-06,610.455934302204
2025-10-07,610.6126901303278
2025-10-08,610.7694457756417
2025-10-09,610.9262015455704
2025-10-10,611.082957255837
2025-10-13,611.2397129629227
2025-10-14,611.3964687265894
2025-10-15,611.5532243948463
2025-10-16,611.7099801801517
2025-10-17,611.8667358441127
2025-10-20,612.0234916183484
2025-10-21,612.180247305185
2025-10-22,612.3370030492205
2025-10-23,612.4937587688564
2025-10-24,612.650514481854
2025-10-27,612.8072702272483
2025-10-28,612.9640259221364
2025-10-29,613.1207816768926
2025-10-30,613.2775373710435
2025-10-31,613.4342931190656
2025-11-03,613.591048825527
2025-11-04,613.747804557962
2025-11-05,613.9045602809207
2025-11-06,614.0613159980842
2025-11-07,614.2180717334094
2025-11-10,614.3748274421955
2025-11-11,614.5315831814656
2025-11-12,614.68833889058
2025-11-13,614.8450946259045
2025-11-14,615.0018503415811
2025-11-17,615.1586060689013
2025-11-18,615.3153617928436
2025-11-19,615.4721175126788
2025-11-20,615.6288732425285
2025-11-21,615.7856289585245
2025-11-24,615.9423846899764
2025-11-25,616.0991404064794
2025-11-26,616.2558961356807
2025-11-27,616.4126518556532
2025-11-28,616.5694075807635
2025-12-01,616.7261633048618
2025-12-02,616.8829190263178
2025-12-03,617.0396747532227
2025-12-04,617.1964304729388
2025-12-05,617.3531862004593
2025-12-08,617.5099419205969
2025-12-09,617.6666976468593
2025-12-10,617.823453368818
2025-12-11,617.9802090929988
2025-12-12,618.1369648170092
2025-12-15,618.2937205394134
2025-12-16,618.4504762647492
2025-12-17,618.6072319863752
2025-12-18,618.7639877119262
2025-12-19,618.9207434338449
2025-12-22,619.077499158704
2025-12-23,619.2342548815724
2025-12-24,619.3910106053767
2025-12-25,619.5477663292615
2025-12-26,619.7045220522057
2025-12-29,619.8612777767124
2025-12-30,620.0180334993141
2025-12-31,620.1747892238824
2026-01-01,620.3315449466704
2026-01-02,620.4883006708629
2026-01-05,620.6450563941434
2026-01-06,620.8018121178036
2026-01-07,620.9585678415857
2026-01-08,621.1153235648313
2026-01-09,621.272079288903
2026-01-12,621.4288350120012
2026-01-13,621.5855907360808
2026-01-14,621.7423464592914
2026-01-15,621.8991021831692
