,Forecast,CI_Lower,CI_Upper
2026-01-16,691.960881328076,684.5027612199783,699.4190014361736
2026-01-19,692.0613513478288,681.8790666973919,702.2436359982657
2026-01-20,692.0422725719982,679.5195026754059,704.5650424685905
2026-01-21,692.0479353748561,677.5819141541265,706.5139565955858
2026-01-22,692.0467161931888,675.8608111579241,708.2326212284535
2026-01-23,692.0470455096803,674.3086053346057,709.7854856847549
2026-01-26,692.0469698962899,672.880954615557,711.2129851770227
2026-01-27,692.0469893797932,671.5526767623209,712.5413019972656
2026-01-28,692.0469847565972,670.3053557422662,713.7886137709282
2026-01-29,692.0469859198613,669.1258206644942,714.9681511752284
2026-01-30,692.0469856391622,668.0040812247167,716.0898900536077
2026-02-02,692.0469857089444,666.9323947993983,717.1615766184905
2026-02-03,692.0469856919613,665.9046043257322,718.1893670581903
2026-02-04,692.0469856961575,664.9157208951519,719.1782504971632
2026-02-05,692.0469856951319,663.9616344227818,720.1323369674819
2026-02-06,692.0469856953845,663.0389112602278,721.0550601305412
2026-02-09,692.0469856953226,662.1446478470716,721.9493235435737
2026-02-10,692.0469856953379,661.2763627711331,722.8176086195426
2026-02-11,692.0469856953341,660.4319155309819,723.6620558596863
2026-02-12,692.046985695335,659.6094443604856,724.4845270301845
2026-02-13,692.0469856953348,658.807317914154,725.2866534765155
2026-02-16,692.0469856953348,658.024097214836,726.0698741758335
2026-02-17,692.0469856953348,657.2585053187843,726.8354660718853
2026-02-18,692.0469856953348,656.5094028672522,727.5845685234174
2026-02-19,692.0469856953348,655.7757681859098,728.3182032047598
2026-02-20,692.0469856953348,655.0566809389638,729.0372904517058
2026-02-23,692.0469856953348,654.3513085914228,729.7426627992468
2026-02-24,692.0469856953348,653.6588951114626,730.435076279207
2026-02-25,692.0469856953348,652.9787514758468,731.1152199148228
2026-02-26,692.0469856953348,652.3102476386956,731.783723751974
2026-02-27,692.0469856953348,651.6528056970337,732.4411656936359
2026-03-02,692.0469856953348,651.0058940421109,733.0880773485587
2026-03-03,692.0469856953348,650.3690223280886,733.724949062581
2026-03-04,692.0469856953348,649.7417371226729,734.3522342679967
2026-03-05,692.0469856953348,649.123618130011,734.9703532606586
2026-03-06,692.0469856953348,648.5142748964299,735.5796964942397
2026-03-09,692.0469856953348,647.9133439256567,736.1806274650129
2026-03-10,692.0469856953348,647.3204861429725,736.7734852476971
2026-03-11,692.0469856953348,646.7353846580656,737.358586732604
2026-03-12,692.0469856953348,646.1577427846718,737.9362286059978
2026-03-13,692.0469856953348,645.587282281871,738.5066891087986
2026-03-16,692.0469856953348,645.0237417874523,739.0702296032173
2026-03-17,692.0469856953348,644.4668754183147,739.6270959723549
2026-03-18,692.0469856953348,643.9164515166392,740.1775198740304
2026-03-19,692.0469856953348,643.3722515236952,740.7217198669744
2026-03-20,692.0469856953348,642.8340689657508,741.2599024249188
2026-03-23,692.0469856953348,642.3017085387428,741.7922628519268
2026-03-24,692.0469856953348,641.7749852801998,742.3189861104698
2026-03-25,692.0469856953348,641.2537238184625,742.8402475722071
2026-03-26,692.0469856953348,640.7377576905625,743.3562137001071
2026-03-27,692.0469856953348,640.2269287212355,743.8670426694341
2026-03-30,692.0469856953348,639.7210864565058,744.3728849341638
2026-03-31,692.0469856953348,639.2200876460902,744.8738837445794
2026-04-01,692.0469856953348,638.7237957695768,745.3701756210928
2026-04-02,692.0469856953348,638.2320806019347,745.8618907887349
2026-04-03,692.0469856953348,637.7448178144404,746.3491535762292
2026-04-06,692.0469856953348,637.2618886075497,746.8320827831199
2026-04-07,692.0469856953348,636.78317937265,747.3107920180196
2026-04-08,692.0469856953348,636.308581379958,747.7853900107116
2026-04-09,692.0469856953348,635.8379904901401,748.2559809005295
2026-04-10,692.0469856953348,635.371306887483,748.7226645031866
2026-04-13,692.0469856953348,634.9084348326819,749.1855365579877
2026-04-14,692.0469856953348,634.4492824335106,749.644688957159
2026-04-15,692.0469856953348,633.9937614318166,750.100209958853
2026-04-16,692.0469856953348,633.5417870054446,750.552184385225
2026-04-17,692.0469856953348,633.0932775838281,751.0006938068415
2026-04-20,692.0469856953348,632.6481546761142,751.4458167145553
2026-04-21,692.0469856953348,632.2063427107954,751.8876286798742
2026-04-22,692.0469856953348,631.7677688859212,752.3262025047484
2026-04-23,692.0469856953348,631.3323630290489,752.7616083616207
2026-04-24,692.0469856953348,630.9000574661698,753.1939139244998
2026-04-27,692.0469856953348,630.4707868989179,753.6231844917517
2026-04-28,692.0469856953348,630.0444882894316,754.049483101238
2026-04-29,692.0469856953348,629.6211007522903,754.4728706383793
