,SPY_LSTM_Forecast
2025-01-01,578.95734
2025-01-02,576.83936
2025-01-03,575.2476
2025-01-06,573.85944
2025-01-07,572.55237
2025-01-08,571.26935
2025-01-09,569.98486
2025-01-10,568.6902
2025-01-13,567.38477
2025-01-14,566.07117
2025-01-15,564.7528
2025-01-16,563.43286
2025-01-17,562.1137
2025-01-20,560.79675
2025-01-21,559.48315
2025-01-22,558.1734
2025-01-23,556.86786
2025-01-24,555.5664
2025-01-27,554.2691
2025-01-28,552.976
2025-01-29,551.687
2025-01-30,550.402
2025-01-31,549.1211
2025-02-03,547.8442
2025-02-04,546.5712
2025-02-05,545.3023
2025-02-06,544.0374
2025-02-07,542.7765
2025-02-10,541.5196
2025-02-11,540.26666
2025-02-12,539.0179
2025-02-13,537.77313
2025-02-14,536.5324
2025-02-17,535.29584
2025-02-18,534.06335
2025-02-19,532.83496
2025-02-20,531.61066
2025-02-21,530.3905
2025-02-24,529.17444
2025-02-25,527.9625
2025-02-26,526.75476
2025-02-27,525.55115
2025-02-28,524.3516
2025-03-03,523.15625
2025-03-04,521.965
2025-03-05,520.77783
2025-03-06,519.59485
2025-03-07,518.416
2025-03-10,517.2414
2025-03-11,516.0708
2025-03-12,514.90436
2025-03-13,513.74207
2025-03-14,512.5838
2025-03-17,511.42978
2025-03-18,510.27985
2025-03-19,509.134
2025-03-20,507.99222
2025-03-21,506.85464
2025-03-24,505.7211
2025-03-25,504.59164
2025-03-26,503.46628
2025-03-27,502.3449
2025-03-28,501.22772
2025-03-31,500.11447
2025-04-01,499.00537
2025-04-02,497.90027
2025-04-03,496.7993
2025-04-04,495.70218
2025-04-07,494.6092
2025-04-08,493.52026
2025-04-09,492.43527
2025-04-10,491.3542
2025-04-11,490.27725
2025-04-14,489.20422
2025-04-15,488.1351
2025-04-16,487.06998
2025-04-17,486.0088
2025-04-18,484.95154
2025-04-21,483.89813
2025-04-22,482.84875
2025-04-23,481.80322
2025-04-24,480.7615
2025-04-25,479.72375
2025-04-28,478.68982
2025-04-29,477.65976
2025-04-30,476.63354
2025-05-01,475.61115
2025-05-02,474.59265
2025-05-05,473.57788
2025-05-06,472.56683
2025-05-07,471.55963
2025-05-08,470.55615
2025-05-09,469.55646
2025-05-12,468.56046
2025-05-13,467.56824
2025-05-14,466.5797
2025-05-15,465.59485
2025-05-16,464.61368
2025-05-19,463.63614
2025-05-20,462.6623
2025-05-21,461.69205
2025-05-22,460.72546
2025-05-23,459.76245
2025-05-26,458.8031
2025-05-27,457.84726
2025-05-28,456.895
2025-05-29,455.94638
2025-05-30,455.00116
2025-06-02,454.05954
2025-06-03,453.12146
2025-06-04,452.18683
2025-06-05,451.2556
2025-06-06,450.3279
2025-06-09,449.40375
2025-06-10,448.48285
2025-06-11,447.56546
2025-06-12,446.65146
2025-06-13,445.7408
2025-06-16,444.83353
2025-06-17,443.92963
2025-06-18,443.02902
2025-06-19,442.13177
2025-06-20,441.23785
2025-06-23,440.3472
2025-06-24,439.4598
2025-06-25,438.5757
2025-06-26,437.69482
2025-06-27,436.81714
2025-06-30,435.9427
2025-07-01,435.07144
2025-07-02,434.20334
2025-07-03,433.33844
2025-07-04,432.47665
2025-07-07,431.61804
2025-07-08,430.76254
2025-07-09,429.91016
2025-07-10,429.06082
2025-07-11,428.21457
2025-07-14,427.37134
2025-07-15,426.53116
2025-07-16,425.694
2025-07-17,424.85992
2025-07-18,424.02875
2025-07-21,423.20056
2025-07-22,422.3754
2025-07-23,421.55313
2025-07-24,420.7338
2025-07-25,419.91733
2025-07-28,419.1038
2025-07-29,418.29315
2025-07-30,417.48535
2025-07-31,416.68042
2025-08-01,415.8783
2025-08-04,415.07898
2025-08-05,414.28256
2025-08-06,413.48877
2025-08-07,412.69788
2025-08-08,411.90967
2025-08-11,411.12424
2025-08-12,410.34152
2025-08-13,409.5615
2025-08-14,408.78418
2025-08-15,408.0096
2025-08-18,407.2376
2025-08-19,406.4683
2025-08-20,405.70166
2025-08-21,404.9376
2025-08-22,404.17618
2025-08-25,403.41733
2025-08-26,402.66104
2025-08-27,401.90732
2025-08-28,401.15616
2025-08-29,400.40747
2025-09-01,399.66138
2025-09-02,398.91776
2025-09-03,398.17664
2025-09-04,397.438
2025-09-05,396.7018
2025-09-08,395.96808
2025-09-09,395.23672
2025-09-10,394.5078
2025-09-11,393.78128
2025-09-12,393.05722
2025-09-15,392.33545
2025-09-16,391.61606
2025-09-17,390.89908
2025-09-18,390.18436
2025-09-19,389.472
2025-09-22,388.7619
2025-09-23,388.05414
2025-09-24,387.3486
2025-09-25,386.64548
2025-09-26,385.94446
2025-09-29,385.24573
2025-09-30,384.5492
2025-10-01,383.8549
2025-10-02,383.16284
2025-10-03,382.47287
2025-10-06,381.7851
2025-10-07,381.09955
2025-10-08,380.41608
2025-10-09,379.7348
2025-10-10,379.05557
2025-10-13,378.37845
2025-10-14,377.7035
2025-10-15,377.03052
2025-10-16,376.35968
2025-10-17,375.69092
2025-10-20,375.02417
2025-10-21,374.35947
2025-10-22,373.6968
2025-10-23,373.03613
2025-10-24,372.37747
2025-10-27,371.72073
2025-10-28,371.06598
2025-10-29,370.41327
2025-10-30,369.76248
2025-10-31,369.1136
2025-11-03,368.46667
2025-11-04,367.82162
2025-11-05,367.1785
2025-11-06,366.53726
2025-11-07,365.89795
2025-11-10,365.26047
2025-11-11,364.6248
2025-11-12,363.99106
2025-11-13,363.35913
2025-11-14,362.72903
2025-11-17,362.10068
2025-11-18,361.47418
2025-11-19,360.84946
2025-11-20,360.22653
2025-11-21,359.60535
2025-11-24,358.986
2025-11-25,358.3683
2025-11-26,357.75238
2025-11-27,357.1382
2025-11-28,356.52573
2025-12-01,355.91498
2025-12-02,355.3059
2025-12-03,354.69852
2025-12-04,354.09277
2025-12-05,353.48877
2025-12-08,352.8864
2025-12-09,352.28568
2025-12-10,351.68655
2025-12-11,351.08905
2025-12-12,350.49326
2025-12-15,349.89893
2025-12-16,349.30634
2025-12-17,348.71524
2025-12-18,348.12576
2025-12-19,347.5378
2025-12-22,346.9515
2025-12-23,346.36667
2025-12-24,345.78342
2025-12-25,345.2017
