,TSLA_ARIMA_Forecast
2025-01-01,405.75967419564057
2025-01-02,405.25149258960334
2025-01-03,404.8401444680253
2025-01-06,405.76208657846655
2025-01-07,404.8693896897218
2025-01-08,405.3226268320745
2025-01-09,405.4266562444351
2025-01-10,404.93258155293944
2025-01-13,405.50316452421174
2025-01-14,405.1385136759598
2025-01-15,405.1710072432555
2025-01-16,405.4150779050721
2025-01-17,405.0671960713933
2025-01-20,405.3345104417062
2025-01-21,405.25528946822465
2025-01-22,405.14952887002994
2025-01-23,405.35153876367184
2025-01-24,405.16800665735536
2025-01-27,405.25138956434324
2025-01-28,405.2857174303686
2025-01-29,405.1747631380555
2025-01-30,405.29426864453774
2025-01-31,405.22377577954893
2025-02-03,405.2228148165657
2025-02-04,405.2795617227605
2025-02-05,405.20538043741436
2025-02-06,405.258681277539
2025-02-07,405.246675129892
2025-02-10,405.2205821684463
2025-02-11,405.26448827001076
2025-02-12,405.22704289589694
2025-02-13,405.2419375617771
2025-02-14,405.2517378132674
2025-02-17,405.2270739107009
2025-02-18,405.25193121699914
2025-02-19,405.23851620634684
2025-02-20,405.2366687967061
2025-02-21,405.24966602383734
2025-02-24,405.2339563473533
2025-02-25,405.24447306105026
2025-02-26,405.2429486524947
2025-02-27,405.2366850661104
2025-02-28,405.2461562031272
2025-03-03,405.2385784640613
2025-03-04,405.2411315188987
2025-03-05,405.2437237448897
2025-03-06,405.23829130624256
2025-03-07,405.2434250724943
2025-03-10,405.24092096831157
2025-03-11,405.24018750726077
2025-03-12,405.2431268153954
2025-03-13,405.239822523429
2025-03-14,405.24187279549614
2025-03-17,405.2417657714015
2025-03-18,405.2402935383574
2025-03-19,405.2423219350109
2025-03-20,405.2408019679162
2025-03-21,405.24121282357265
2025-03-24,405.2418664793895
2025-03-25,405.2406799456879
2025-03-26,405.2417324046318
2025-03-27,405.2412763741445
2025-03-28,405.2410503033081
2025-03-31,405.2417077389764
2025-04-01,405.2410174750427
2025-04-02,405.2414116063839
2025-04-03,405.2414343710668
2025-04-04,405.24109412754376
2025-04-07,405.2415255229348
2025-04-08,405.24122361215547
2025-04-09,405.2412827944963
2025-04-10,405.24144224464595
2025-04-11,405.24118510501023
2025-04-14,405.2413991854335
2025-04-15,405.2413188488299
2025-04-16,405.24125645661286
2025-04-17,405.2414020740584
2025-04-18,405.2412588805083
2025-04-21,405.2413333748928
2025-04-22,405.2413476941136
2025-04-23,405.24127015766067
2025-04-24,405.2413612797902
2025-04-25,405.2413019689655
2025-04-28,405.24130857919664
2025-04-29,405.2413465276362
2025-04-30,405.24129121227924
2025-05-01,405.2413343939697
2025-05-02,405.24132090325355
2025-05-05,405.24130473452334
2025-05-06,405.2413367034607
2025-05-07,405.24130721142853
2025-05-08,405.2413209977982
2025-05-09,405.2413260023371
2025-05-12,405.24130854367905
2025-05-13,405.24132766027105
2025-05-14,405.24131615567586
2025-05-15,405.2413163033957
2025-05-16,405.2413251624419
2025-05-19,405.2413133473048
2025-05-20,405.24132197780386
2025-05-21,405.2413198792473
2025-05-22,405.2413158583078
2025-05-23,405.2413228197548
2025-05-26,405.24131679124264
2025-05-27,405.24131927358053
2025-05-28,405.2413207399504
2025-05-29,405.2413168499239
2025-05-30,405.2413208328949
2025-06-02,405.2413186346036
2025-06-03,405.24131840297514
2025-06-04,405.2413204389096
2025-06-05,405.24131793263234
2025-06-06,405.2413196400352
2025-06-09,405.24131935775193
2025-06-10,405.2413183867969
2025-06-11,405.241319891156
2025-06-12,405.24131866870476
2025-06-13,405.2413190990912
2025-06-16,405.2413194928105
2025-06-17,405.24131863416727
2025-06-18,405.24131945819806
2025-06-19,405.2413190457703
2025-06-20,405.2413189418926
2025-06-23,405.24131940364987
2025-06-24,405.24131887562453
2025-06-25,405.24131920950936
2025-06-26,405.2413191841512
2025-06-27,405.2413189548707
2025-06-30,405.2413192776057
2025-07-01,405.2413190318593
2025-07-02,405.24131910238907
2025-07-03,405.2413192026529
2025-07-04,405.24131901474175
2025-07-07,405.2413191839816
2025-07-08,405.24131910837673
2025-07-09,405.2413190750255
2025-07-10,405.24131917856874
2025-07-11,405.24131906808134
2025-07-14,405.2413191324978
2025-07-15,405.2413191343858
2025-07-16,405.2413190811968
2025-07-17,405.24131914995
2025-07-18,405.2413191010171
2025-07-21,405.241319111527
2025-07-22,405.24131913615827
2025-07-23,405.24131909536
2025-07-24,405.24131912985166
2025-07-25,405.24131911641166
2025-07-28,405.241319107015
2025-07-29,405.2413191300011
2025-07-30,405.24131910704176
2025-07-31,405.24131911927077
2025-08-01,405.2413191211906
2025-08-04,405.24131910903105
2025-08-05,405.2413191235775
2025-08-06,405.24131911393766
2025-08-07,405.2413191152196
2025-08-08,405.2413191211133
2025-08-11,405.24131911232143
2025-08-12,405.2413191192932
2025-08-13,405.24131911700573
2025-08-14,405.2413191145397
2025-08-15,405.24131911959654
2025-08-18,405.2413191148595
