,Forecast,CI_Lower,CI_Upper
2026-01-16,438.96431852652125,425.2444240951672,452.68421295787533
2026-01-19,438.36579369464687,419.28034766531215,457.4512397239816
2026-01-20,438.7336124637205,415.4324125895867,462.03481233785425
2026-01-21,438.22052199465213,411.22817130781266,465.2128726814916
2026-01-22,438.55716471682666,408.3092137373893,468.805115696264
2026-01-23,438.1158832643499,404.8437026938283,471.38806383487156
2026-01-26,438.4218679910427,402.37623867136114,474.46749731072424
2026-01-27,438.04111740279365,399.3596815549959,476.7225532505914
2026-01-28,438.31771716700786,397.1717766156506,479.46365771836514
2026-01-29,437.98825455966454,394.4726709493754,481.50383816995367
2026-01-30,438.23719202265556,392.47975189177055,483.9946321535406
2026-02-02,437.9513922725817,390.0234267248138,485.8793578203496
2026-02-03,438.1746339434618,388.17659454385586,488.17267334306774
2026-02-04,437.9261658160912,385.9147914991671,489.9375401330153
2026-02-05,438.12577936928307,384.1827796990368,492.0687790395293
2026-02-06,437.90935349330425,382.0816229099519,493.73708407665663
2026-02-09,438.08741086272363,380.4430230393342,495.73179868611305
2026-02-10,437.89858255848503,378.47736650711704,497.319798609853
2026-02-11,438.05709606339326,376.9167794142057,499.19741271258084
2026-02-12,437.8921101948472,375.0672089040336,500.7170114856608
2026-02-13,438.0329923185352,373.5731393132664,502.49284532380403
2026-02-16,437.88866046258374,371.8242305814126,503.95309034375487
2026-02-17,438.0137004018376,370.3878448283233,505.63955597535187
2026-02-18,437.88730297671003,368.72707718735194,507.0475287660681
2026-02-19,437.9981549297441,367.341425643315,508.6548842161732
2026-02-20,437.8873626900941,365.758464826652,510.0162605535362
2026-02-23,437.9855422190159,364.4179717771914,511.5531126608404
2026-02-24,437.88835285562817,362.904174492886,512.8725312183703
2026-02-25,437.9752386700084,361.60429057584065,514.3461867641762
2026-02-26,437.88992525542403,360.1523493316178,515.6275011792303
2026-02-27,437.96676450820684,358.88930733851464,517.044221677899
2026-03-02,437.8918332878037,357.4929880359075,518.2906785396999
2026-03-03,437.9597490221382,356.2636269540795,519.6558710901969
2026-03-04,437.893904624302,354.9175701699709,520.8702390786332
2026-03-05,437.95390441094276,353.71920571753276,522.1886031043528
2026-03-06,437.8960209856425,352.4187731111587,523.3732688601262
2026-03-09,437.94900608332,351.24910079579706,524.6489113708429
2026-03-10,437.8981032099062,349.9902543565417,525.8059520632708
2026-03-11,437.94487779375953,348.847275798038,527.042479789481
2026-03-12,437.9001002517873,347.62648154314724,528.1737189604273
2026-03-13,437.94138040856416,346.50844775211283,529.3743130650155
2026-03-16,437.9019810991619,345.32259798337435,530.4813642149495
2026-03-17,437.93840339801636,344.2279651981674,531.6488415978653
2026-03-18,437.9037288522122,343.0743150815403,532.7331426228842
2026-03-19,437.93585837813254,342.00171003441017,533.8700067218549
2026-03-20,437.9053364034718,340.8778253924358,534.9328474145077
2026-03-23,437.9336741952135,339.82601773987597,536.041330650551
2026-03-24,437.90680330111354,338.7297317314137,537.0838748708134
2026-03-25,437.93179317334335,337.6976119843815,538.1659743623052
2026-03-26,437.9081334850827,336.62698890506414,539.1892780651012
2026-03-27,437.93016823993224,335.61355062015696,540.2467858597075
2026-03-30,437.90933366559585,334.56685546264913,541.2518118685426
2026-03-31,437.9287607154405,333.5711807615638,542.2863406693172
2026-04-01,437.91041217304405,332.54685347425095,543.2739708718372
2026-04-02,437.927538606593,331.56810118243766,544.2869760307483
2026-04-03,437.9113781526376,330.56473478971304,545.2580215155622
2026-04-06,437.92647528221227,329.6021306504174,546.2508199140071
2026-04-07,437.91224101008703,328.6184525683277,547.2060294518463
2026-04-08,437.92554844063335,327.67128111173855,548.1798157695281
2026-04-09,437.91301003911815,326.70613712392424,549.1198829543121
2026-04-10,437.9247393000307,325.773734864348,550.0757437357133
2026-04-13,437.91369417982,324.82607532517545,551.0013130344646
2026-04-14,437.924031959771,323.9078250300871,551.9402388894549
2026-04-15,437.9143018703368,322.976692941893,552.8519107987806
2026-04-16,437.92341289350804,322.072018771098,553.7748070159181
2026-04-17,437.9148409644297,321.15653944583164,554.6731424830277
2026-04-20,437.92287054420893,320.2649028009532,555.5808382874646
2026-04-21,437.9153186948526,319.3642748670757,556.4663625226294
2026-04-22,437.92239499843276,318.4851708241899,557.3596191726756
2026-04-23,437.915741667968,317.59865838035415,558.2328249555818
2026-04-24,437.9219777225539,316.7316126040548,559.112342841053
2026-04-27,437.91611587907505,315.8585383540041,559.9736934041459
2026-04-28,437.92161134767974,315.003104411168,560.8401182841915
2026-04-29,437.9164467409007,314.14284364110165,561.6900498406998
2026-04-30,437.92128949307994,313.2986006483824,562.5439783377775
2026-05-01,437.91673911989153,312.4505759299979,563.3829023097852
2026-05-04,437.9210066202676,311.61712648156225,564.224886758973
2026-05-05,437.91699737654346,310.7808030020693,565.0531917510176
2026-05-06,437.9207579116395,309.95777133401367,565.8837444892654
2026-05-07,437.91722540717274,309.13265276938785,566.7017980449576
2026-05-08,437.92053916892814,308.3196831252012,567.5213952126551
2026-05-11,437.9174266853769,307.50530798539063,568.3295453853632
2026-05-12,437.92034672774435,306.70206315318023,569.1386303023085
2026-05-13,437.91760430204226,305.89800153837655,569.937207065708
2026-05-14,437.9201773852798,305.1041615356841,570.7361932348756
2026-05-15,437.91776100319106,304.31001225148606,571.5255097548961
2026-05-18,437.9200283388438,303.52527313764404,572.3147835400435
2026-05-19,437.91789922526596,302.7406611242816,573.0951373262503
2026-05-20,437.919897133378,301.9647339236035,573.8750603431525
2026-05-21,437.91802112766726,301.18930796058964,574.6467342947449
2026-05-22,437.9197816164595,300.42191768240394,575.4176455505151
2026-05-25,437.91812862250185,299.6553483352382,576.1809089097655
2026-05-26,437.9196798995836,298.8962330789926,576.9431267201746
2026-05-27,437.9182234016021,298.1382108590095,577.6982359441947
2026-05-28,437.91959032474546,297.38712099448844,578.4520596550025
2026-05-29,437.9183069609351,296.6373547067576,579.1992592151126
2026-06-01,437.9195114355126,295.89405212094834,579.9449707500769
2026-06-02,437.9183806225596,295.15226737839373,580.6844938667255
2026-06-03,437.9194419519242,294.41652478176843,581.42235912208
2026-06-04,437.91844555430833,293.6824626664739,582.1544284421427
2026-06-05,437.9193807486631,292.95406295247534,582.8846985448508
2026-06-08,437.9185027873819,292.2274788075463,583.6095267672175
2026-06-09,437.9193268360388,291.5062144599142,584.3324392121634
2026-06-10,437.91855323203777,290.786876797343,585.0502296667325
2026-06-11,437.9192793433918,290.07254934062604,585.7660093461575
2026-06-12,437.9185976915541,289.3602388523974,586.4769565307108
2026-06-15,437.9192375045909,288.6526583415924,587.1858166675894
2026-06-16,437.91863687463825,287.9471670028187,587.8901067464578
2026-06-17,437.91920064534486,287.24615154857855,588.5922497421111
2026-06-18,437.91867140643814,286.54728180279955,589.2900610100767
2026-06-19,437.9191681720884,285.8526571290753,589.9856792151015
2026-06-22,437.91870183830264,285.1602211470297,590.6771825295756
2026-06-23,437.91913956223993,284.4718201783746,591.3664589461052
2026-06-24,437.91872865642557,283.78563918256634,592.0518181302848
2026-06-25,437.91911435565464,283.10330165863763,592.7349270526717
2026-06-26,437.9187522894945,282.423205306913,593.4142992720759
2026-06-29,437.9190921471208,281.74677742196866,594.091406872273
2026-06-30,437.91877311545426,281.0726032440962,594.7649429868123
2026-07-01,437.91907257976965,280.4019373095175,595.4362078500218
2026-07-02,437.91879146748545,279.7335301914429,596.104052743528
2026-07-03,437.9190553392833,279.068484319507,596.7696263590597
2026-07-06,437.9188076392848,278.4056960305529,597.4319192480167
2026-07-07,437.91904014880345,277.7461338378536,598.0919464597532
2026-07-08,437.91882188972875,277.0888225966579,598.7488211827996
2026-07-09,437.91902676445306,276.4346129257242,599.4034406031819
2026-07-10,437.9188344469898,275.782643001171,600.0550258928087
2026-07-13,437.9190149713977,275.13365965896395,600.7043702838314
2026-07-14,437.9188455121694,274.48690100276906,601.3507900215698
2026-07-15,437.9190045803791,273.843022514855,601.9949866459033
2026-07-16,437.9188552625032,273.20135042282413,602.6363601021823
2026-07-17,437.91899542466484,272.5624598021268,603.2755310472029
2026-07-20,437.9188638541885,271.92575460142064,603.9119731069563
2026-07-21,437.918987357363,271.29173913054615,604.5462355841798
2026-07-22,437.9188714248778,270.65988589056815,605.1778569591875
2026-07-23,437.918980249058,270.03063691677954,605.8073235813365
2026-07-24,437.9188780958779,269.40352518154793,606.4342310102079
2026-07-27,437.9189739857291,268.77893792354035,607.0590100479178
2026-07-28,437.91888397408894,268.1564614636261,607.6813064845518
2026-07-29,437.9189684669175,267.53643482931994,608.3015021045151
2026-07-30,437.9188891537136,266.9184914116272,608.9192868958
2026-07-31,437.9189636041114,266.3029278262569,609.5349993819659
2026-08-03,437.9188937177645,265.6894190000954,610.1483684354336
2026-08-04,437.918959319325,265.0782242439269,610.759694394723
2026-08-05,437.91889773939226,264.46905514198,611.3687403368045
2026-08-06,437.91895554384524,263.8621381970381,611.9757728906524
2026-08-07,437.91890128305675,263.2572173499667,612.5805852161468
2026-08-10,437.9189522171293,262.65449025520013,613.1834141790584
2026-08-11,437.9189044055589,262.05372941874606,613.7840793923717
2026-08-12,437.9189492858323,261.4551071330984,614.3827914385662
2026-08-13,437.91890715695064,260.8584211266594,614.9793931872418
2026-08-14,437.9189467029515,260.2638213995525,615.5740720063504
2026-08-17,437.9189095813362,259.6711279552982,616.1666912073742
2026-08-18,437.91894442707184,259.08047120406894,616.7574176500748
2026-08-19,437.918911717579,258.4916908257553,617.3461326094027
2026-08-20,437.9189424217018,257.90490001961876,617.9329848237849
2026-08-21,437.9189135999241,257.3199558503365,618.5178713495118
2026-08-24,437.9189406546876,256.7369564004772,619.100924908898
2026-08-25,437.91891525854686,256.1557740986392,619.6820564184545
2026-08-26,437.91893909769783,255.5764937540608,620.2613844413348
